chopped_rank,position,position_rank,player,previous_rank,rank_change,survival_score_gain,score_mc_se,survival_weeks_gain,championship_lift_pct,start_when_alive_available_pct,late_start_when_alive_available_pct,expected_original_team_starts,expected_original_team_points,paired_trials,team,bye,baseline_half_ppr_points,ir_note,news_snapshot,source_url
204,K,13,Blake Grupe,135,-69,-0.02,0.237,0.121,-1.76,64.8,16.5,6.05,51.67,512,IND,13,133.4,,,
205,RB,69,Chris Brooks,226,21,-0.021,0.023,-0.021,0,0.7,0,0.06,0.25,512,GB,11,58,,GB third-down/committee option while Jacobs is unavailable,https://www.packers.com/news/5-things-learned-from-gm-brian-gutekunst-about-packers-roster-sep-1-2026
206,RB,70,Najee Harris,243,37,-0.021,0.075,0.01,-0.39,0.9,0,0.08,0.3,512,NYG,8,65.3,,,
207,RB,71,Brashard Smith,245,38,-0.041,0.025,-0.041,0,0.1,0,0.01,0.02,512,KC,5,27.25,,,
208,WR,63,Devaughn Vele,211,3,-0.043,0.103,-0.09,0.59,3,0,0.26,1.95,512,NO,8,102.24,,,
209,QB,25,Malik Willis,112,-97,-0.045,0.244,-0.061,0.2,25.3,5.1,2.1,40.05,512,MIA,6,295.1,,,
210,WR,64,Travis Hunter,223,13,-0.045,0.088,0.018,-0.78,1.6,0,0.13,0.87,512,JAC,7,91.14,,,
211,DST,15,Tampa Bay Buccaneers,167,-44,-0.047,0.273,-0.047,0,30.5,8.6,2.73,19.67,512,TB,10,97.3,,,
212,DST,16,Los Angeles Chargers,147,-65,-0.049,0.247,-0.002,-0.59,63.2,29,5.54,43.88,512,LAC,7,108.6,,,
213,RB,72,Jaylen Wright,244,31,-0.051,0.038,-0.035,-0.2,0.5,0,0.04,0.09,512,MIA,6,46.94,,,
214,RB,73,Brian Robinson Jr.,218,4,-0.057,0.118,-0.057,0,4.8,0,0.4,2.43,512,ATL,11,89.18,,,
215,RB,74,Kaelon Black,232,17,-0.059,0.089,-0.012,-0.59,1.5,0,0.13,0.55,512,SF,8,68.55,,,
216,WR,65,Jordan Addison,148,-68,-0.066,0.158,-0.051,-0.2,34.9,7.7,2.81,26.37,512,MIN,6,141.55,,,
217,WR,66,Carnell Tate,127,-90,-0.076,0.191,0.002,-0.98,44.5,8.9,3.53,34.68,512,TEN,9,145.86,,,
218,WR,67,Adonai Mitchell,214,-4,-0.076,0.082,-0.029,-0.59,1.3,0,0.11,0.62,512,NYJ,13,94.29,,,
219,RB,75,James Conner,238,19,-0.078,0.04,-0.078,0,0.7,0,0.06,0.17,512,ARI,14,52.5,,,
220,QB,26,Jacoby Brissett,182,-38,-0.09,0.256,-0.043,-0.59,31.1,1.6,2.8,46.3,512,ARI,14,260.69,,,
221,WR,68,Cooper Kupp,208,-13,-0.09,0.126,-0.059,-0.39,3,0,0.26,2.07,512,SEA,11,101.33,,,
222,RB,76,Jordan James,216,-6,-0.09,0.128,-0.059,-0.39,3.7,0,0.31,1.8,512,SF,8,84.01,,,
223,RB,77,Kimani Vidal,242,19,-0.092,0.05,-0.076,-0.2,0.7,0,0.06,0.17,512,LAC,7,53.42,,,
224,RB,78,Tyjae Spears,192,-32,-0.105,0.179,0.082,-2.34,19.1,1.1,1.65,13.67,512,TEN,9,115.32,,,
225,DST,17,Baltimore Ravens,117,-108,-0.111,0.272,-0.096,-0.2,60.2,20.2,5.27,43.43,512,BAL,13,102,,,
226,WR,69,Wan'Dale Robinson,152,-74,-0.111,0.188,0.014,-1.56,31.1,5,2.61,22.92,512,TEN,9,141.29,,,
227,WR,70,KC Concepcion,173,-54,-0.117,0.173,-0.008,-1.37,20.1,1.4,1.71,15.67,512,CLE,11,129.81,,,
228,RB,79,Mike Washington Jr.,234,6,-0.117,0.066,-0.086,-0.39,1.7,0,0.14,0.67,512,LV,13,75.36,,,
229,K,14,Cameron Dicker,109,-120,-0.119,0.265,0.006,-1.56,80.2,53.5,6.73,61.25,512,LAC,7,143.7,,,
230,WR,71,Deebo Samuel Sr.,160,-70,-0.119,0.173,0.068,-2.34,28,2.5,2.33,21.5,512,SF,8,139.74,,,
231,WR,72,Calvin Ridley,181,-50,-0.121,0.155,-0.027,-1.17,15.4,2.2,1.35,11.44,512,TEN,9,124.75,,,
232,WR,73,De'Zhaun Stribling,179,-53,-0.154,0.154,-0.045,-1.37,13.7,0.6,1.1,9.41,512,SF,8,126.06,,,
233,WR,74,Jalen McMillan,202,-31,-0.162,0.122,-0.115,-0.59,6.5,0.9,0.55,4.68,512,TB,10,110.31,,,
234,WR,75,Tre Tucker,194,-40,-0.164,0.155,-0.039,-1.56,7.5,0,0.66,5.41,512,LV,13,117.72,,,
235,WR,76,Tank Dell,193,-42,-0.168,0.137,-0.043,-1.56,8.9,1.1,0.75,6.46,512,HOU,8,115.95,,,
236,WR,77,Denzel Boston,188,-48,-0.18,0.151,-0.117,-0.78,11.6,0.7,1.03,8.23,512,CLE,11,121.75,,,
237,RB,80,Tyler Allgeier,220,-17,-0.182,0.116,-0.057,-1.56,4.2,0,0.35,1.82,512,ARI,14,87.07,,,
238,WR,78,Matthew Golden,162,-76,-0.186,0.159,-0.154,-0.39,28.7,4.4,2.41,21.68,512,GB,11,136.79,,,
239,WR,79,Xavier Worthy,156,-83,-0.187,0.148,-0.078,-1.37,26.9,3.6,2.17,19.64,512,KC,5,140.01,,,
240,WR,80,Makai Lemon,185,-55,-0.187,0.167,-0.141,-0.59,12.7,1.8,1.1,9.53,512,PHI,10,124.67,,,
241,WR,81,Jordyn Tyson,207,-34,-0.195,0.119,-0.133,-0.78,3.6,0,0.31,2.5,512,NO,8,102.15,,,
242,TE,24,Juwan Johnson,131,-111,-0.207,0.185,0.074,-3.52,39.4,11.1,3.41,27.47,512,NO,8,122.59,,,
243,TE,25,Greg Dulcich,186,-57,-0.246,0.169,-0.059,-2.34,23.7,3.1,1.94,13.45,512,MIA,6,106.1,,,
244,DST,18,Cleveland Browns,123,-121,-0.248,0.276,-0.014,-2.93,56.4,21.8,4.92,40.19,512,CLE,11,101.1,,,
245,TE,26,AJ Barner,190,-55,-0.254,0.177,-0.145,-1.37,19.1,0,1.68,10.69,512,SEA,11,100.29,,,
246,RB,81,AJ Dillon,215,-31,-0.258,0.132,-0.148,-1.37,6.1,0,0.49,2.7,512,CAR,5,90.5,,,
247,K,15,Nick Folk,161,-86,-0.289,0.262,-0.211,-0.98,57,12.8,5.16,41.83,512,ATL,11,128.6,,,
248,TE,27,Chig Okonkwo,197,-51,-0.299,0.171,-0.299,0,21.1,3.3,1.71,11.15,512,WAS,7,99.98,,,
249,K,16,Jake Bates,149,-100,-0.342,0.237,-0.295,-0.59,68,35.3,5.33,44.44,512,DET,6,135.9,,,
250,K,17,Harrison Mevis,136,-114,-0.35,0.228,-0.162,-2.34,73,30.4,6.52,55.52,512,LAR,11,136.9,,,
251,QB,27,Geno Smith,180,-71,-0.412,0.254,-0.287,-1.56,32.3,2.3,2.78,44.43,512,NYJ,13,264.06,,,
252,K,18,Trey Smack,154,-98,-0.434,0.258,-0.184,-3.12,58.9,20,5.33,43.99,512,GB,11,126.9,,,
